timestamp,TEMP,TEMP_qc,PRES,PRES_qc,CNDC,CNDC_qc,PSAL,PSAL_qc,SVEL,SVEL_qc
2019-04-04 14:01:42+00:00,14.6736,1,19.53,1,4.61295,1,38.2612,1,1509.78,1
2019-04-04 14:01:52+00:00,14.6723,1,19.569,1,4.61292,1,38.2622,1,1509.78,1
2019-04-04 14:02:02+00:00,14.6725,1,19.582,1,4.61261,1,38.2591,1,1509.77,1
2019-04-04 14:02:12+00:00,14.6723,1,19.517,1,4.6127,1,38.2602,1,1509.77,1
2019-04-04 14:02:22+00:00,14.6723,1,19.52,1,4.61272,1,38.2603,1,1509.77,1
2019-04-04 14:02:32+00:00,14.6717,1,19.571,1,4.61268,1,38.2606,1,1509.77,1
2019-04-04 14:02:42+00:00,14.6717,1,19.535,1,4.61267,1,38.2605,1,1509.77,1
2019-04-04 14:02:52+00:00,14.6714,1,19.525,1,4.61265,1,38.2607,1,1509.77,1
2019-04-04 14:03:02+00:00,14.6711,1,19.543,1,4.61268,1,38.2613,1,1509.77,1
2019-04-04 14:03:12+00:00,14.6717,1,19.551,1,4.61267,1,38.2605,1,1509.77,1
2019-04-04 14:03:22+00:00,14.6722,1,19.523,1,4.61258,1,38.2591,1,1509.77,1
2019-04-04 14:03:32+00:00,14.672,1,19.534,1,4.61253,1,38.2589,1,1509.77,1
2019-04-04 14:03:42+00:00,14.6726,1,19.525,1,4.61267,1,38.2596,1,1509.77,1
2019-04-04 14:03:52+00:00,14.673,1,19.536,1,4.6127,1,38.2595,1,1509.78,1
2019-04-04 14:04:02+00:00,14.6729,1,19.533,1,4.61275,1,38.26,1,1509.78,1
2019-04-04 14:04:12+00:00,14.6736,1,19.584,1,4.61282,1,38.26,1,1509.78,1
2019-04-04 14:04:22+00:00,14.6722,1,19.514,1,4.61273,1,38.2605,1,1509.77,1
2019-04-04 14:04:32+00:00,14.6738,1,19.505,1,4.61275,1,38.2592,1,1509.78,1
2019-04-04 14:04:42+00:00,14.6736,1,19.578,1,4.61276,1,38.2594,1,1509.78,1
2019-04-04 14:04:52+00:00,14.6734,1,19.536,1,4.61273,1,38.2594,1,1509.78,1
2019-04-04 14:05:02+00:00,14.6733,1,19.534,1,4.61276,1,38.2598,1,1509.78,1
2019-04-04 14:05:12+00:00,14.6735,1,19.545,1,4.61282,1,38.2602,1,1509.78,1
2019-04-04 14:05:22+00:00,14.6733,1,19.526,1,4.61278,1,38.26,1,1509.78,1
2019-04-04 14:05:32+00:00,14.672,1,19.521,1,4.61279,1,38.2614,1,1509.77,1
2019-04-04 14:05:42+00:00,14.6695,1,19.549,1,4.61259,1,38.262,1,1509.77,1
2019-04-04 14:05:52+00:00,14.6706,1,19.562,1,4.61264,1,38.2613,1,1509.77,1
2019-04-04 14:06:02+00:00,14.6698,1,19.538,1,4.61253,1,38.2611,1,1509.77,1
2019-04-04 14:06:12+00:00,14.6708,1,19.532,1,4.61262,1,38.261,1,1509.77,1
2019-04-04 14:06:22+00:00,14.672,1,19.533,1,4.61267,1,38.2602,1,1509.77,1
2019-04-04 14:06:32+00:00,14.6714,1,19.531,1,4.61268,1,38.261,1,1509.77,1
2019-04-04 14:06:42+00:00,14.6717,1,19.532,1,4.61268,1,38.2606,1,1509.77,1
2019-04-04 14:06:52+00:00,14.6723,1,19.508,1,4.61265,1,38.2598,1,1509.77,1
2019-04-04 14:07:02+00:00,14.6717,1,19.555,1,4.61264,1,38.2602,1,1509.77,1
2019-04-04 14:07:12+00:00,14.6707,1,19.57,1,4.61252,1,38.26,1,1509.77,1
2019-04-04 14:07:22+00:00,14.6707,1,19.499,1,4.61256,1,38.2604,1,1509.77,1
2019-04-04 14:07:32+00:00,14.671,1,19.544,1,4.61267,1,38.2612,1,1509.77,1
2019-04-04 14:07:42+00:00,14.6726,1,19.54,1,4.61272,1,38.26,1,1509.78,1
2019-04-04 14:07:52+00:00,14.6732,1,19.54,1,4.61276,1,38.2598,1,1509.78,1
2019-04-04 14:08:02+00:00,14.6733,1,19.525,1,4.61281,1,38.2602,1,1509.78,1
2019-04-04 14:08:12+00:00,14.6732,1,19.581,1,4.61281,1,38.2603,1,1509.78,1
2019-04-04 14:08:22+00:00,14.6732,1,19.513,1,4.61281,1,38.2603,1,1509.78,1
2019-04-04 14:08:32+00:00,14.6736,1,19.508,1,4.61268,1,38.2588,1,1509.78,1
2019-04-04 14:08:42+00:00,14.6737,1,19.519,1,4.61279,1,38.2597,1,1509.78,1
2019-04-04 14:08:52+00:00,14.674,1,19.565,1,4.61282,1,38.2597,1,1509.78,1
2019-04-04 14:09:02+00:00,14.6739,1,19.531,1,4.61281,1,38.2596,1,1509.78,1
2019-04-04 14:09:12+00:00,14.6741,1,19.516,1,4.61284,1,38.2597,1,1509.78,1
2019-04-04 14:09:22+00:00,14.6744,1,19.519,1,4.61286,1,38.2596,1,1509.78,1
2019-04-04 14:09:32+00:00,14.6752,1,19.544,1,4.61289,1,38.259,1,1509.78,1
